"character" "dialogue"
 "luke" "echo three to echo seven. han, old buddy, do you  read me?"
 "han" "loud and clear, kid. what's up?"
 "luke" "well, i finished my circle. i don't pick up any  life readings."
 "han" "there isn't enough life on this ice cube to fill a  space cruiser. the sensors are placed. i'm going back."
 "luke" "right. i'll see you shortly. there's a meteorite  that hit the ground near here. i want to check it out. it won't take long."
 "luke" "hey, steady girl. what's the matter? you smell something?"
 "luke" "aaargh!"
 "han" "chewie!"
 "han" "all right, don't lose your temper. i'll come right back and give  you a hand."
 "rieekan" "solo?"
 "han" "no sign of life out there, general. the sensors are in place.  you'll know if anything comes around."
 "rieekan" "commander skywalker reported in yet?"
 "han" "no. he's checking out a meteorite that hit near him."
 "rieekan" "with all the meteor activity in this  system, it's going to be difficult to spot approaching ships."
 "han" "general, i've got to leave. i can't stay anymore."
 "rieekan" "i'm sorry to hear that."
 "han" "well, there's a price on my head. if i don't pay off jabba the  hut, i'm a dead man."
 "rieekan" "a death mark's not an easy thing to live with. you're a good  fighter, solo. i hate to lose you."
 "han" "thank you, general."
 "han" "well, your highness, i guess this is it."
 "leia" "that's right."
 "han" "well, don't get all mushy on me. so long, princess."
 "leia" "han!"
 "han" "yes, your highnessness?"
 "leia" "i thought you decided to stay."
 "han" "well, the bounty hunter we ran into on ord mantell changed my  mind."
 "leia" "han, we need you!"
 "han" "we?"
 "leia" "yes."
 "han" "oh, what about you need?"
 "leia" "i need? i don't know what you're talking about."
 "han" "you probably don't."
 "leia" "and what precisely am i supposed to know?"
 "han" "come on! you want me to stay because of the way you feel about  me."
 "leia" "yes. you're a great help to us. you're a natural leader..."
 "han" "no! that's not it. come on. aahhh -- uh huh! come on."
 "leia" "you're imagining things."
 "han" "am i? then why are you following me? afraid i was going to leave  without giving you a goodbye kiss?"
 "leia" "i'd just as soon kiss a wookiee."
 "han" "i can arrange that. you could use a good kiss!"
 "threepio" "don't try to blame me. i didn't ask you to turn on the  thermal heater. i merely commented that it was freezing in the princess's chamber. but it's supposed to be freezing. how are we going to dry out all her clothes? i really don't know."
 "threepio" "oh, switch off."
